Agency,Use Case ID,Use Case Name,Bureau/Component,Stage of Development (Raw),Stage of Development,Is the AI use case high-impact? (Raw),Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency's mission and/or the general public?,Describe the AI system's outputs.,Date when AI use case became operational or the pilot's start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case's associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case?,Has an AI impact assessment been completed for this AI use case?,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system's outcome?,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Department Of Health And Human Services,,NLQuery- As Data or Pulse,HHS/AHRQ/CQuIPS,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",Retired,c) Not high-impact,Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department Of Health And Human Services,,Quality and Safety Review System AI-enabled automated abstraction,HHS/AHRQ/CQuIPS,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",Retired,c) Not high-impact,Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department Of Health And Human Services,,AI DevOps - Improving Development and CI/CD Operations,HHS/AHRQ/CFACT,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Information Technology,Generative AI,"Introducing AI to DevOps can identify and reduce errors, shorten release cycles, and empower development teams with data-driven insights, resulting in faster continuous integration and shorter development lifecycles.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards.","Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards.",,,Pingwind,,"Integrating AI into DevOps pipeline can boost efficiency, enhance code quality, and accelerate development cycle. AI code review uses artificial intelligence algorithms to analyze source code for potential issues. Initial integration of AI code review can assist in detecting bugs, security vulnerabilities, performance bottlenecks, and deviations from coding standards.",,,,,,,,,,,,,,,,
Department Of Health And Human Services,,USPSTF Public Forms Data AI Integration,HHS/AHRQ/CEPI,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",Retired,c) Not high-impact,Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department Of Health And Human Services,,emPOWER AI,HHS/ASPR/ODAIA,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Health & Medical,Natural Language Processing (NLP),"Public health authorities, first responders and others across the emergency management spectrum indicated that they had to be able to more rapidly access HHS emPOWER Map publicly available data, particularly in unstable internet conditions, during disasters. emPOWER AI, an  Amazon Alexa Skill, was created to allow anyone with a smartphone, particularly emergency and first responders, to be able to request the data from the HHS emPOWER Map and receive it within seconds from the field to headquarters.","Public health authorities, first responders and others across the emergency management spectrum indicated that they had to be able to more rapidly access HHS emPOWER Map publicly available data, particularly in unstable internet conditions, during disasters. emPOWER AI, an  Amazon Alexa Skill, was created to allow anyone with a smartphone, particularly emergency and first responders, to be able to request the data from the HHS emPOWER Map and receive it within seconds from the field to headquarters. For example, a local first responder in the field at a location of a disaster could rapidly identify the total number of Medicare beneficiaries that live independently in a given zip code, and may be adversely impacted by a rapidly progressing flood or wildfire emergency and use this information to inform decision-making on evacuation assistance resources and teams.","emPOWER AI gives the user publicly available data from the HHS emPOWER Map on the number of electricity-dependent Medicare beneficiaries at the national, state, territory, county, and ZIP Code levels.",Dec-19,c) Developed with both contracting and in-house resources,Communications Training & Analysis Corporation (CTAC),Yes,"emPOWER AI gives the user publicly available data from the HHS emPOWER Map on the number of electricity-dependent Medicare beneficiaries at the national, state, territory, county, and ZIP Code levels.",Publicly available de-identified data on the HHS emPOWER Map,,No,"Publicly available data, PIA is under the HHS emPOWER Map ATO.",k) None of the above,No,No,,"Publicly available data, PIA is under the HHS emPOWER Map ATO.",,,,,,,
Department Of Health And Human Services,,Senior Leadership Briefing Generation,HHS/ASPR/CP,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Emergency Management,Natural Language Processing (NLP),"The manual process of parsing and understanding documents, and summarizing their content",Saves the SLB team time manually typing out a briefing,Automatically generates a Senior Leadership Briefing based on the user inputted requirements and documents,,,,,Automatically generates a Senior Leadership Briefing based on the user inputted requirements and documents,,,,,,,,,,,,,,,,
Department Of Health And Human Services,,AIP Cyber Incident Ingestion,HHS/ASPR/CP,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Cybersecurity,Natural Language Processing (NLP),The manual process of parsing out cyber incidents and entering them into the system,Allows the Cyber team to quickly ingest cyber incident data,Automatically parses and creates cyber incidents based on the user inputted description or email,Nov-25,b) Developed in-house,Palantir,Yes,Automatically parses and creates cyber incidents based on the user inputted description or email,ASPR Cyber Incident Descriptions,,No,N/A,k) None of the above,Yes,,,N/A,,,,,,,
Department Of Health And Human Services,,ASPR TRACIE - Web search results improvement (prototyping stage),HHS/ASPR/CP,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Service Delivery,Natural Language Processing (NLP),Web search results improvement - ASPR TRACIE,Public users searching on the website can expect to see more relevant and improved search results.,The output will bring more relevant search results by improving current search results. It will use both keywords and natural language to bring more relevant results.,,,,,The output will bring more relevant search results by improving current search results. It will use both keywords and natural language to bring more relevant results.,,,,,,,,,,,,,,,,
Department Of Health And Human Services,,PRISM Ally,HHS/ASFR/OA,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Procurement & Financial Management,Generative AI,Assists users with federal regulatory and agency policy questions related to acquisition,"A.I. will help HHS deliver faster, higher-quality public services and measurably improve mission outcomes by cutting cycle times and backlogs, boosting accuracy, and increasing first-contact resolution and customer satisfaction. It will drive cost avoidance and productivity through automation and reuse of shared data/models and code, lowering unit costs per transaction while protecting taxpayer dollars. Built-in accessibility, interpretability, and human-in-the-loop safeguards strengthen equity, fairness, and public trust, with transparent citations, monitoring, and appeal mechanisms. The workforce benefits from targeted upskilling and copilots that reduce manual research and documentation, improving time-to-competency and decision quality. Data quality and interoperability improve via standardized metadata, provenance, and sharingenabling secure, portable, and interoperable solutions that reduce vendor lock-in and long-term risk. Success will be tracked with concrete metrics such as cycle-time reduction, error-rate and rework decreases, customer experience score gains, cost-per-action savings, accessibility conformance, reuse/adoption counts, training completions, and compliance/incident rates.","Ally utilizes a Retrieval-Augmented Generation (RAG) approach to develop answers to user submitted questions. The user submits a query and any prompt instruction needed through the PRISM Ally user interface. Using the query, PRISM Ally performs a vector search of its private knowledge repository to identify relevant information that can provide enhanced context for developing the answer. The user query, prompt, and enhanced context are then passed to the LLM. The LLM considers the information and returns an answer. The utilization of enhanced context provides guardrails for the LLM and helps to increase the accuracy of the answers provided.",Jun-25,a) Purchased from a vendor,Unison,No,"Ally utilizes a Retrieval-Augmented Generation (RAG) approach to develop answers to user submitted questions. The user submits a query and any prompt instruction needed through the PRISM Ally user interface. Using the query, PRISM Ally performs a vector search of its private knowledge repository to identify relevant information that can provide enhanced context for developing the answer. The user query, prompt, and enhanced context are then passed to the LLM. The LLM considers the information and returns an answer. The utilization of enhanced context provides guardrails for the LLM and helps to increase the accuracy of the answers provided.","The PRISM Ally application and private knowledge repository are located within the Unison Cloud, in a FedRAMP moderate environment. The application and repository are maintained by Unison. Regulatory content (e.g. FAR, DFARS, agency supplementals) within the repository is sourced from government authenticated sources (e.g. acquisition.gov, ecfr.gov). Unison updates the regulatory content within the repository with each new regulatory update release.",,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,Certification and Testing/Program Administration  AI-enabled Internal Processes,HHS/ASTP,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Administrative Functions,Generative AI,"ONCs certification and related program operations rely on many manual, text-heavy, and repetitive tasks (e.g., analyzing surveillance reports, validating certification test results, generating public meeting materials, preparing communications, managing Jira tickets, summarizing standards/IG guidance, and drafting acquisition documents). These activities are time-consuming, error-prone, and difficult to scale as program workload increases. The AI use case is intended to automate or semi-automate routine document drafting, data summarization, basic analysis, and information retrieval across these functions so staff can focus on higher-value review, oversight, and decision-making.","Expected benefits include: (1) improved efficiency of internal certification and program operations (e.g., faster preparation of surveillance analyses, CHPL artifacts, and meeting materials); (2) reduced risk of omissions and inconsistencies in internal documents through standardized AI-assisted drafting and terminology checks; (3) quicker access to relevant information from CHPL data, Jira tickets, standards implementation guides, and financial spreadsheets; and (4) more timely, clear, and consistent public-facing communications and policy/support documents. Indirectly, these improvements support ONCs mission to advance safe, interoperable health IT by improving the quality and timeliness of its certification, oversight, and communication activities.","AI-generated or AI-assisted outputs include: (1) draft analytical summaries and reports (e.g., surveillance reporting analysis, RWT results validation, SED categorization, data visualizations); (2) draft public-facing and stakeholder communications (e.g., webinar Q&As, plain-language explanations of regulatory or standards text, communication templates); (3) internal operational artifacts (e.g., CHPL backups, release notes, Jira responses and ticket summaries, Excel query results); and (4) first drafts of acquisition and planning documents (e.g., statements of work, market research, memoranda of need, acquisition plans). All outputs are reviewed, edited, and approved by ONC staff before use.",,,,,"AI-generated or AI-assisted outputs include: (1) draft analytical summaries and reports (e.g., surveillance reporting analysis, RWT results validation, SED categorization, data visualizations); (2) draft public-facing and stakeholder communications (e.g., webinar Q&As, plain-language explanations of regulatory or standards text, communication templates); (3) internal operational artifacts (e.g., CHPL backups, release notes, Jira responses and ticket summaries, Excel query results); and (4) first drafts of acquisition and planning documents (e.g., statements of work, market research, memoranda of need, acquisition plans). All outputs are reviewed, edited, and approved by ONC staff before use.",,,,,,,,,,,,,,,,
Department Of Health And Human Services,,The NEF DSI/AI project addresses local validation of AI-based clinical decision support (CDS)/decision support interventions (DSI) in provider settings.,HHS/ASTP,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Health & Medical,Other,Assess quality of AI-based clinical decision support (CDS) tools,"[LAVA, or ""Local AI Evaluator"",  does not itself use AI.] LAVA would assist clinicians in assessing the accuracy, and therefore usefulness, of AI diagnosis tools. AI diagnosis tools are developed to apply to a national population, rather than to smaller, local populations, such as those served by small providers with one or few physical locations. These smaller, local patient populations may have different demographics than that on which the AI-based tool was trained, so the LAVA tool can help illuminate these differences and how the AI tool may apply to the local population. This can help providers learn how to best use their AI diagnosis tools.","Outputs are not generated by AI, but rather use open source information to assess outputs from other AI-based tools. This tool's outputs are metrics that measure, for example, accuracy and precision of external AI predictions of disease onsets in local patient populations.",,,,,"Outputs are not generated by AI, but rather use open source information to assess outputs from other AI-based tools. This tool's outputs are metrics that measure, for example, accuracy and precision of external AI predictions of disease onsets in local patient populations.",,,,,,,,,,,,,,,,
Department Of Health And Human Services,,HaMLET: Harnessing Machine Learning to Eliminate Tuberculosis,HHS/CDC,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",Retired,c) Not high-impact,Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department Of Health And Human Services,,Adverse Childhood Experiences (ACEs) Literature Review Dashboard,HHS/CDC,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",Retired,c) Not high-impact,Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department Of Health And Human Services,,Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"The AI is designed to streamline the review process of Annual Progress Reports (APRs) submitted by Injury Control Research Centers (ICRCs), improve efficiency, and support the evaluation of the performance and progress of ICRC-funded activities.","The AI will help quickly and efficiently identify key challenges and insights from ICRC APRs, enabling more effective decision-making in the review process. By automating the extraction and analysis of critical information, the AI allows the ICRC team to focus on higher-level evaluation and strategic planning. This will reduce the time and resources needed for manual review, improve the consistency and accuracy of assessments, and facilitate faster responses to ICRC needs. Ultimately, this will support ICRCs in overcoming challenges and achieving their research and injury control goals, benefiting the public health system as a whole.","The AI analyzes the textual content of APRs, focusing initially on sections detailing the challenges faced by ICRCs. It identifies key themes, trends, and critical information that may require further attention. The AI methodology extracts insights and patterns from the data, which can then be compared with manual qualitative analysis outcomes. In subsequent stages, the AI will be expanded to analyze other sections of the APRs, such as progress toward goals and program impact.",Aug-23,b) Developed in-house,,Yes,"The AI analyzes the textual content of APRs, focusing initially on sections detailing the challenges faced by ICRCs. It identifies key themes, trends, and critical information that may require further attention. The AI methodology extracts insights and patterns from the data, which can then be compared with manual qualitative analysis outcomes. In subsequent stages, the AI will be expanded to analyze other sections of the APRs, such as progress toward goals and program impact.",Injury Control Research Center Annual Progress Reports,,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,Detecting Stimulant and Opioid Misuse and Illicit Use,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Health & Medical,Natural Language Processing (NLP),"To detect and analyze non-therapeutic (illicit or misuse) stimulant and opioid use from free-text clinical notes in EHRs, which is not possible using standard medical codes.","The AI models enable the extraction of novel insights from EHRs regarding non-therapeutic drug use, improving the statistical analysis of health data for the National Hospital Care Survey (NHCS). This supports more accurate public health statistics and may influence analysis of other datasets with EHR clinical notes.","Two machine learning models (one for internal use, one for public release) that, together with rule-based text analysis, determine whether a patient has used a drug therapeutically or non-therapeutically, providing new insights for health statistics.",Mar-24,b) Developed in-house,,No,"Two machine learning models (one for internal use, one for public release) that, together with rule-based text analysis, determine whether a patient has used a drug therapeutically or non-therapeutically, providing new insights for health statistics.",National Hospital Care Survey 2020 clinical notes,,No,,k) None of the above,Yes,,,,,,,,,,
Department Of Health And Human Services,,DHP Virtual Assistant,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Health & Medical,Natural Language Processing (NLP),"To assist HIV researchers by retrieving relevant information related to HIV and HIV research, improving productivity and efficiency in literature review.",Expected to increase productivity among HIV researchers by streamlining information retrieval for HIV research.,The AI assistant uses retrieval augmented generation (RAG) to return information related to HIV based on a user's query and other documents.,Nov-24,b) Developed in-house,,Yes,The AI assistant uses retrieval augmented generation (RAG) to return information related to HIV based on a user's query and other documents.,"Internal documentation containing mapped eHARS LOINC codes, IQVIA data dictionaries, APRs",,No,,k) None of the above,Yes,,,,,,,,,,
Department Of Health And Human Services,,Fuzzy matching tool,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"To improve clearance and review management of CDC publications by identifying similar records between eClearance submissions and CDC-authored publications, ensuring compliance with NIHMS and CDC public access policies, and supporting science prioritization and impact analyses.","The tool is expected to streamline the clearance process, ensure compliance with public access policies, and assist in identifying and prioritizing CDC-authored publications. This will save staff time and improve the efficiency and accuracy of publication management.","The tool outputs matched records between eClearance submissions and CDC-authored publications, identifying potential duplicates or related documents for internal review.",Mar-23,b) Developed in-house,,No,"The tool outputs matched records between eClearance submissions and CDC-authored publications, identifying potential duplicates or related documents for internal review.",eClearance submissions data and Science Clips data,,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,Reviewing Global Influenza Vaccine Literature,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Health & Medical,Natural Language Processing (NLP),To efficiently review a large volume of published literature and identify abstracts related to access to influenza vaccines.,"The AI system is expected to save significant staff time by automating the initial literature review process, allowing epidemiologists to focus on in-depth analysis of relevant publications. This increases efficiency and scalability in reviewing global literature related to vaccine access.",A list of abstracts from published journal articles that are relevant to vaccine access. These abstracts are identified using large language models and are then reviewed manually for further analysis.,Oct-24,b) Developed in-house,,Yes,A list of abstracts from published journal articles that are relevant to vaccine access. These abstracts are identified using large language models and are then reviewed manually for further analysis.,Published journal articles accessed through freely available sources or via CDC research agreements.,,No,,k) None of the above,Yes,,,,,,,,,,
Department Of Health And Human Services,,HIV Data Virtual Assistant,HHS/CDC,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Information Technology,Natural Language Processing (NLP),"To improve the data retrieval and automation process for HIV researchers by providing information from datasets and generating code for data analysis, thereby alleviating challenges in finding appropriate HIV-related data.","The AI assistant will improve productivity and research efforts by streamlining the process of finding relevant HIV datasets and generating analysis code, saving researchers time and enabling more efficient data-driven research.","The AI system uses retrieval augmented generation (RAG) to return information related to HIV based on user queries. Outputs include lists of datasets, associated variable names, and code (SAS, R, Python) for analysis, as well as specific dataset information based on researcher queries.",,,,,"The AI system uses retrieval augmented generation (RAG) to return information related to HIV based on user queries. Outputs include lists of datasets, associated variable names, and code (SAS, R, Python) for analysis, as well as specific dataset information based on researcher queries.",,,,,,,,,,,,,,,,
Department Of Health And Human Services,,Identify infrastructure supports for physical activity (e.g. sidewalks) in satellite and roadway images,HHS/CDC,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Health & Medical,Computer Vision,"To streamline and automate the surveillance of sidewalks and other infrastructure that support physical activity, reducing the labor and cost associated with manual inspection.","The technology has the potential to significantly minimize the effort required for cataloging sidewalks and related infrastructure, which are important for promoting physical activity. This could lead to more efficient and cost-effective surveillance, supporting public health monitoring and interventions.","Outputs include geocoded data tables, maps, GIS layers, or summary reports identifying sidewalks, bicycle lanes, and other relevant infrastructure from satellite and roadway images.",Sep-23,c) Developed with both contracting and in-house resources,,No,"Outputs include geocoded data tables, maps, GIS layers, or summary reports identifying sidewalks, bicycle lanes, and other relevant infrastructure from satellite and roadway images.",Publicly-available images were used for model evaluation,,No,,k) None of the above,Yes,,,,,,,,,,
Department Of Health And Human Services,,Immunization Information Systems Guidance Documentation Navigation and Management (IDAB EDAV Azure OpenAI Technology Use),HHS/CDC,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Administrative Functions,Generative AI,"To provide a modernized, efficient, and user-friendly method for CDC staff to retrieve, interact with, and update Immunization Information Systems (IIS) guidance documentation, improving knowledge retrieval and supporting the creation and validation of new guidance documents.","This AI solution enables faster, more actionable access to IIS guidance for subject matter experts, helps new employees find information more easily, and improves understanding of best practices. It streamlines the process of drafting, refining, and validating new guidance documents, increasing efficiency and accuracy in knowledge management.","The AI system provides synthesized answers to user queries in a Q&A interface, retrieving and summarizing information from publicly available IIS guidance documents. Outputs include generated text responses, draft guidance documents, and updated documentation.",,,,,"The AI system provides synthesized answers to user queries in a Q&A interface, retrieving and summarizing information from publicly available IIS guidance documents. Outputs include generated text responses, draft guidance documents, and updated documentation.",,,,,,,,,,,,,,,,
Department Of Health And Human Services,,LaserAI,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Health & Medical,Natural Language Processing (NLP),"To reduce screening time and improve accuracy in all phases of systematic reviews by automating title and abstract screening, PDF retrieval, full-text review, and data extraction.","The AI is expected to streamline systematic review processes, reduce manual effort, and improve accuracy in identifying and extracting relevant data. The synthesized and graded data will inform the development of evidence-based infection prevention and control recommendations for healthcare settings.","The AI system outputs include prioritized lists of potentially relevant articles for screening, retrieved PDFs from PubMed, and suggested data for extraction from PDFs.",Apr-24,a) Purchased from a vendor,LaserAI,No,"The AI system outputs include prioritized lists of potentially relevant articles for screening, retrieved PDFs from PubMed, and suggested data for extraction from PDFs.","None: Any data used to train the AI is publicly available, peer-reviewed data.",,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,NewsScape,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Emergency Management,Generative AI,"Development of early warning indicators. News articles can form an early warning indicator of public health events and other pieces of information which can be utilized across all major domains of public health. Because of the quantity of news articles, manual efforts are impossible to gather this information.","There are a variety of endpoints that this AI output could help support. Various teams across the CDC have expressed interest in being able to quickly get the right news content, with summaries of those articles to help support outbreak detection, report generation, surveillance and monitoring of pathogen specific news, etc. AI lets us efficiently filter and summarize thousands of news articles a day into a handful of daily ""news events"" that user can glean information from.","NewsScape is a AI enabled news aggregation and summarization that is hosted within the 1CDP platform. The main motivation to build  NewsScape was to develop a system that uses Large Language Models (LLMs) to surface relevant insight from recent news articles. NewsScape ingests a high volume of news articles, in the order of thousands of news articles everyday, and surfaces the information from them that related to the topic we were interested (for example, pathogen related news articles, or U.S. medical supply chain updates).  The tool can be customized based on specific program office needs, and can be deployed independently of one another so that one program office can have their own custom version of NewsScape installed.",Jan-23,c) Developed with both contracting and in-house resources,Palantir Technologies,Yes,"NewsScape is a AI enabled news aggregation and summarization that is hosted within the 1CDP platform. The main motivation to build  NewsScape was to develop a system that uses Large Language Models (LLMs) to surface relevant insight from recent news articles. NewsScape ingests a high volume of news articles, in the order of thousands of news articles everyday, and surfaces the information from them that related to the topic we were interested (for example, pathogen related news articles, or U.S. medical supply chain updates).  The tool can be customized based on specific program office needs, and can be deployed independently of one another so that one program office can have their own custom version of NewsScape installed.",,,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,Portfolio Analytics,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Science,Natural Language Processing (NLP),"To automate the identification of themes within CDC-authored publications, providing richer information for science prioritization, evaluation, and communication.","Automated theme identification will provide centers and divisions with richer, more actionable information about their publications. Combined with impact metrics, this will aid in science prioritization, evaluation, and communication, supporting more effective and efficient scientific resource allocation.",The system outputs themes or topic clusters identified within CDC-authored publications.,Mar-24,b) Developed in-house,,No,The system outputs themes or topic clusters identified within CDC-authored publications.,eClearance submissions data and Science Clips data,,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,RAPID Analysis of Policy and Program Documents (RAPID),HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"To streamline and automate the review and evaluation of policy and program documents, saving staff time, reducing the need for specialized training, providing consistent and complete answers, and enabling easy validation and collaboration.","The web application will save staff time, expand capacity, provide consistent and complete answers to policy surveillance and evaluation questions, reduce intra-rater variability, and enable easy validation and collaboration on policy projects.","An internal web application that allows users to import, store, search, and analyze policy or program documents; ask questions of relevant text segments; validate answers; and collaborate on projects. Outputs include plain language answers, binary codes or scores, and project-specific databases.",Sep-25,c) Developed with both contracting and in-house resources,,Yes,"An internal web application that allows users to import, store, search, and analyze policy or program documents; ask questions of relevant text segments; validate answers; and collaborate on projects. Outputs include plain language answers, binary codes or scores, and project-specific databases.",RAPID analysis of DNPAO policy and program data using GPT results in project-specific databases. AI-generated data are compared to CDC manual reviews by SMEs for accuracy and reliability.,,No,,k) None of the above,Yes,,,,,,,,,,
Department Of Health And Human Services,,SewerScout: Automated on-site sewage facility detection from aerial imagery to identify failed systems,HHS/CDC,a) Pre-deployment  The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Health & Medical,Computer Vision,"To automate the identification of onsite wastewater systems and detect failed systems using aerial imagery, enabling public health departments to efficiently locate and assess septic systems without resource-intensive field visits.","The project will allow state, tribal, local, and territorial public health departments to more easily identify failing septic systems, address contamination risks, and improve disaster response by providing a ready catalog of systems. This will save time and resources compared to manual surveys, especially in rural and remote areas.","The system outputs include identification and mapping of onsite sewage facilities, with the intent to distinguish between functional and failed systems, supporting public health surveillance and intervention.",,,,,"The system outputs include identification and mapping of onsite sewage facilities, with the intent to distinguish between functional and failed systems, supporting public health surveillance and intervention.",,,,,,,,,,,,,,,,
Department Of Health And Human Services,,Sidekick Comms bot Offering User-friendly Tips (SCOUT),HHS/CDC,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"To reduce the workload of health communicators by automating and simplifying the creation of web pages, social media posts, and other public-facing content, making information more accessible and understandable for the general public.","The solution accelerates content creation, reduces staff burden, and increases the accessibility and clarity of CDC information for the public. All AI-generated content is reviewed by experts to ensure accuracy and quality, supporting the CDCs mission to provide clear, science-based public health information.","The AI system generates plain language versions of existing web content, creates new content for web, social media, fact sheets, and graphics, and produces social media posts. All outputs are reviewed and edited by CDC experts before publication.",Jan-25,c) Developed with both contracting and in-house resources,,Yes,"The AI system generates plain language versions of existing web content, creates new content for web, social media, fact sheets, and graphics, and produces social media posts. All outputs are reviewed and edited by CDC experts before publication.","The use case focuses on generating content from existing, publicly available CDC materials.",,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,Transcribing Cognitive Interviews with Whisper,HHS/CDC,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Deployed,c) Not high-impact,Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"Reducing the time and effort required to transcribe cognitive interviews for federal health survey research, enabling faster and higher-quality analysis of qualitative data.","The AI system is expected to significantly reduce the hours required for qualitative review by automating transcription, enabling immediate comparison of interview concepts and answers, and providing timestamps for easier reference. This will accelerate research publication and improve the quality of survey questions used in federal surveys.","The AI generates transcripts from recorded interviews, which are used by staff for qualitative research in support of federal health survey research.",Jul-24,b) Developed in-house,,No,"The AI generates transcripts from recorded interviews, which are used by staff for qualitative research in support of federal health survey research.",No agency-owned data was used; publicly available data was used to evaluate performance.,,No,,k) None of the above,No,,,,,,,,,,
Department Of Health And Human Services,,Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,HHS/CDC,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Pilot,c) Not high-impact,Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"Manual review of large volumes of public comments for Notices of Proposed Rulemaking is labor-intensive and time-consuming. The AI is intended to organize and cluster comments by theme, improving the efficiency and effectiveness of manual review and ensuring all topics are accurately reported.","The AI system will enhance the speed and quality of manual review of public comments, enable better thematic organization, and reduce the burden on staff. This supports compliance with legal requirements for public comment review and improves the insights gained from public input.","The AI generates clusters of similar public comments, organized by theme, to aid in manual review.",Apr-23,b) Developed in-house,,Yes,"The AI generates clusters of similar public comments, organized by theme, to aid in manual review.",Not specified,,No,,k) None of the above,No,,,,,,,,,,
