"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
DOI-0183,Cell Phone Application for Oil Spill Detection [2024 INV#WO0000000108285],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,develop a model that can be used to interpret cell phone images to predict oil in environmental samples,The tool can be rapidly deployed for use in the field by the oil spill responder community.,prediction of oil in samples,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0182,Wave runup and total water level observations from time series imagery at several sites with varying nearshore morphologies [2024 INV#WO0000000108262],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,separation (segmentation) of land and water in images,ability to compare actuals to forecasted water levels,calculated water levels,10/1/2024,Developed in-house,,FALSE,,imagery,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0181,National Wildlife Disease Database (NWDD) [2024 INV#WO0000000108149; 2024 INV#WO0000000109192],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"bring together various wildlife health data streams across informational domains (i.e., laboratory results, environmental observations, news media, etc.) ",visualize and contextualize information from one or more sources,advanced analytics to natural resource authorities ,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0180,Office of Grants Management (PGM) Grants Utility Tool,OS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Procurement & Financial Management,Agentic AI,"PGM faced growing operational and compliance challenges across the entire financial assistance lifecycle. Manual processes—project description reviews, pre-award SAM.gov validations, and detailed budget analyses—were extremely labor-intensive, inconsistent across bureaus, and vulnerable to human error. Staff were required to review thousands of records each year, including over 8,000 project descriptions, more than 13,000 pre-award validation actions, and more than 8,000 detailed budget submissions. Each task required extensive reading, cross-checking across multiple systems, and detailed documentation. These demands strained a shrinking grants workforce, delayed internal control reviews, increased the risk of compliance failures under 2 CFR 200, and diverted staff from higher-value oversight activities. The Department needed a standardized, accurate, and scalable way to conduct internal controls testing, ensure timely eligibility checks, and complete budget reviews without overwhelming staff resources or jeopardizing compliance.","Automated analysis increased objectivity, removed inconsistencies in how staff interpreted regulatory requirements, and provided faster, more reliable information to support program decisions. ","The combined AI tools automatically generate standardized compliance outputs across project descriptions, budget reviews, and entity validations, replacing thousands of hours of manual analysis. They produce automated scoring, flags for risks or inconsistencies, cross-walks between budget documents, and complete audit-ready records aligned with internal control requirements. Together, these outputs streamline oversight, strengthen regulatory compliance, and create a consistent, defensible documentation trail for more than 29,000 annual financial assistance actions.",4/10/2024,Developed in-house,,TRUE,,Various public sources,sam.gov,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0179,Sediment Transport in Coastal Environments [2024 INV#WO0000000108118],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,time-series imputation of oceanographic time-series,filling in missing data,more complete time-series data,6/1/2025,Developed in-house,,FALSE,,time-series of oceanographic and water quality variables,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0178,"Machine learning based shoreline time-series imputation, classification and forecasting (time-series analyses) [2024 INV#WO0000000108117]",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"data generation and QC/QA procedures, for large scale and short-term forecasting of shoreline trends",time savings,data generation and QC/QA procedures,6/1/2025,Developed in-house,,FALSE,,shoreline location time-series,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0177,National Oceanographic Partnership Program (NOPP) [2024 INV#WO0000000108018],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Machine Learning based coastal sediments assessment and prediction,time savings,coastal sediments assessment and prediction,6/1/2025,Developed in-house,,FALSE,,"aerial imagery and public satellite imagery, wave and tide information",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0176,Using Machine Learning in USGS StreamStats to make suspended sediment and bedload predictions [2024 INV#WO0000000107977],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Getting estimates of suspended sediment and bedload in Minnesota rivers without sampling data.,A tool for resource managers who need estimates of suspended sediment and bedload in Minnesota rivers without sampling data.,Estimates of suspended sediment and bedload in Minnesota rivers,12/31/2024,Developed in-house,,FALSE,,Publicly available geospatial and continuous streamflow timeseries datasets.,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0175,Deep Learning based image segmentation [2024 INV#WO0000000107975],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Machine Learning based shoreline detection and mapping, automated data suitability analyses from satellite imagery",time savings,shoreline mapping,6/1/2025,Developed in-house,,FALSE,,public satellite imagery,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0174,Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta [2024 INV#WO0000000107683; INV#WO0000000107488],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Environmental time-series data may suffer from gaps at a variety of time scales, significantly reducing the number of observations to understand phenomena, identify change, calibrate models, and predict future behavior.",filling in missing time-series data,complete time-series data,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0173,Seabird and Marine Mammal Surveys Near Potential Renewable Energy Sites Offshore Central and Southern California [2024 INV#WO0000000107535],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Computer Vision,"Using rapidly developing machine- learning (ML) techniques, the USGS WERC team is developing new methods to automate the detection and counts of seabirds and marine mammals from digital imagery.",time and cost savings,seabird counts,11/16/2020,Purchased from a vendor,unkown,FALSE,,Digital Imagery,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0172,Foundation Models to Advance Earth Science [2024 INV#WO0000000107153],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Generative AI,"Advance the understanding of Earth's conditions and processes by developing and deploying generalist AI models (Foundation Models) trained on Earth Observations from field, suborbital, and orbital sensors. ","These models, along with the resulting insights, will empower scientists and land user managers to achieve more while also advancing the broader field of AI and machine learning science.",Information on Earth conditions and processes,6/1/2024,Developed in-house,,FALSE,,Remotely sensed and other Earth observation data.,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0171,Rangeland Condition Monitoring Assessment and Projection (RCMAP) [2024 INV#WO0000000107126],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"To address the need for long-term tracking of vegetation change, scientists from the USGS and Bureau of Land Management (BLM) developed the Rangeland Condition Monitoring Assessment and Projection (RCMAP) project. ","RCMAP quantifies the percent cover of ten rangeland components (annual herbaceous, bare ground, herbaceous, litter, non-sagebrush shrub, perennial herbaceous, sagebrush, shrub, and tree cover and shrub height) at yearly time-steps across the western U.S. ","RCMAP provides maps of vegetation cover at yearly time-steps, a critical refence to advancing science in the BLM and assessing Landscape Health standards.",12/31/2022,Developed in-house,,FALSE,,"field training data, Landsat imagery",,FALSE,,None of the Above,FALSE,,,,"Improved disaster planning process, improved infrastructure planning and development.",In-progress,Development of monitoring protocols is in-progress,Establishment of sufficient and periodic training is in-progress,Not applicable,Not applicable,In-progress,,,,,,,,,,
DOI-0170,Everlaw AI Assistant for Responsive Review,OCIO,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Administrative Functions,Agentic AI,"Everlaw AI Assistant’s Coding Suggestions lets OTAR and DO set natural-language criteria (case, category, and code descriptions) to assess document responsiveness. By tagging documents using keywords, account numbers, and contextual clues, it reduces manual review and speeds document triage",Reduced manual labor cost and cycle time for responsive review; more consistent and rapid identification of responsive documents; meet discovery deadlines; large scale document search; and improved classification for historical accounting.,"The AI assistant provides one of four coding suggestions: Yes (direct match), Soft Yes (plausible relevance), Soft No (weak relevance), or No (not relevant). DOI reviewers can filter by category, validate samples, and refine code descriptions. Output is advisory; reviewers decide whether to apply the ‘Responsive’ code.",9/25/2025,c) Developed with both contracting and in-house resources,"Everlaw, Inc.",TRUE,,"digitized documents such as contracts, account records, correspondence, and financial records",,TRUE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0169,CHS Q Business AI Assistant (theKraken),USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Administrative Functions,Generative AI,"The AI Assistant is designed to address the challenge of quickly finding and using information spread across multiple platforms like GitLab and Confluence. Instead of employees spending valuable time searching through scattered documentation, theKraken provides a centralized tool to query, summarize, and generate content directly from CHS resources. This strengthens the agency’s mission by enabling staff to focus on high value work rather than time consuming administrative tasks.",The AI Assistant has significantly enhanced the new employee onboarding experience by acting as a personalized guide to our data. It provides a centralized place to ask questions and quickly access information. ,Generated natural language responses to user queries.,4/1/2025,Developed in-house,,TRUE,,Internal data from GitLab and Confluence,,FALSE,,None of the Above,FALSE,,,,Potential to predict locations of critical minerals on the seafloor,In-progress,Development of monitoring protocols is in-progress,Establishment of sufficient and periodic training is in-progress,Not applicable,Not applicable,In-progress,,,,,,,,,,
DOI-0168,Machine Learning for Bat Acoustics,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Other,Improving the accuracy and timeliness of species status assessments and science to support deregulation efforts.  ,This effort will result in significant cost savings related to environmental review for permitting. ,This model will be refined and used for prediction and decisions. ,8/23/2022,Developed in-house,,FALSE,,"This dataset contains audio files of bat echolocation calls used to develop NABat ML algorithm V1.0, excluding the test (holdout) set. Recordings were collected by monitoring partners across North America using ultrasonic recorders for stationary and mobile surveys, then post-processed to remove noise and assign species labels. Labeling typically involves automated classification followed by manual review (see NABat guides). Files were submitted in WAV format and include 35 classes (34 species + noise), with 4 species excluded for low sample size. From this pool, recordings were randomly selected and split into training and validation sets; the test set is not included. Audio files are grouped by four-letter species codes, with a reference dataset providing Family, Genus, Species, and Common name definitions.",https://www.sciencebase.gov/catalog/item/627ed4b2d34e3bef0c9a2f30,FALSE,,None of the Above,FALSE,https://code.usgs.gov/fort/nabat/nabat-ml/-/tree/v2.0.0,,,,,,,,,,,,,,,,,,,
DOI-0164,Mapping ecohydrological headwater refugia,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,This application of machine learning is being used to aggregate complex spatial data to develop a statistical model used to create detailed maps of headwater stream resources and habitat.,cut costs by producing more accurate results when mapping headwater stream resources and habitat that can be used to help ensure water security for the nation and healthy aquatic habitat necessary to maintain safe water resources,The supervised machine learning output will include a statistical model that produces raster files of spatial data with habitability scores for each pixel and used to produce high resolution maps of the output.,,,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0166,Machine Learning based shoreline detection and sea ice dynamics using coastal cameras [2024 INV#WO0000000108008],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Determine shoreline location and change as well as sea ice dynamics from coastal cameras in remote communities,Output will be incorporated into Total Water Level and Coastal Change numerical models.,shoreline and sea ice locations,,Developed in-house,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,In-progress,,,,,,,,,,
DOI-0165,Tsunami Hazard Analysis [2024 INV#WO0000000108470],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improve onshore probabilistic inundation forecasts,Better/more efficient emergency management and infrastructure planning processes,Inundation maps of coastal areas,,Developed in-house,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,In-progress,,,,,,,,,,
DOI-0167,Machine learning for streamflow forecasting [2024 INV#WO0000000109317],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improve streamflow forecasting predictions in the Willamette River basin.,Improved understanding of the system and predictions.,Forecasted streamflow.,,,,FALSE,,,,FALSE,,None of the Above,FALSE,Not published yet.,,,,,,,,,,,,,,,,,,,
DOI-0163,Determining the resource potential of critical minerals in seafloor massive sulfide deposits [2024 INV#WO0000000109311],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,The system predicts the location of seafloor massive sulfide deposits for use as critical mineral indicators. Produces associated mapping products for public use.,More efficient searching for seafloor critical minerals - predictions can be used to inform resource expeditions rather than using traditional guesswork planning.,Maps of various mineral locations and compositions on the seafloor.,,Developed in-house,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,In-progress,,,,,,,,,,
DOI-0161,use of random forest for species distribution modeling,USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We use random forest models in R as part of an ensemble species distribution modelling workflow. Random forests have been applied to model the distribution of Joshua trees, as well as other species in the Mojave Desert in support of the BLM's Mojave Desert Native Plant Program (interagency partnership). Traditional machine learning methods, including random forests and maxent, will continue to feature in our development of species distribution models. ","The use of AI in this application improves species distribution models, reduces error, and makes models more precise which provides more accurate and useful information to decision-makers atInterior agencies. ",The output of AI from machine learning that we use are predictive and places bounds on species distributions that are then used by regulatory agencies to provide guidance.,12/14/2023,Developed in-house,,FALSE,,We used research data sets of Joshua trees that were collected in house and owned by USGS (public) The data have been published through proper procedures,,FALSE,https://doi.org/10.5066/P9NZMDLL,None of the Above,FALSE,https://doi.org/10.5066/P9NZMDLL,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0157,Remote sensing of particulate and filter passing mercury species: models and proxies,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,AI provides the framework for understanding the relationship between optical water quality parameters and non-optical contaminants to develop highly accurate remote sensing models for mercury from satellite images and field measurements ,"Synoptic, spatially cohesive maps of mercury distribution in surface water",A model that is applied to remote sensing imagery to provide a measurement of mercury and meythlmercury in water bodies,,,,FALSE,,,,FALSE,NA,None of the Above,FALSE,NA,,,,,,,,,,,,,,,,,,,
DOI-0159,Tephra classification with machine learning [2024 INV#WO0000000109095],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Layers of volcanic ash can be classified using a their geochemical components to link a the ash to the volcano it erupted from.
","This model helps probabilistically identify distal tephra layers from throughout the region, helping us better understand its long-term record of explosive volcanism.","Identification of the source volcano of tephra layers in the form of prediction sets and probabilities eg {Katmai: .82, Augustine: 0.15, Redoubt: .03}",1/1/2023,Developed in-house,,TRUE,,Data associated with this data release: https://dggs.alaska.gov/pubs/id/31091,https://dggs.alaska.gov/pubs/id/31091,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0158,HOTLink: identifying elevated thermal anomalies at volcanoes [2024 INV#WO0000000109217],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Moves beyond threshold-based hotspot detection algorithms using computer vision and CNN for improved detection of weka thermal signals that may be the first indiciation of volcanic unrest,"Detects 22% more hotspots at volcanoes and produces 12% fewer false positivies across multiple satellite sensor platforms to accurately characterize background and eruptive periods, as well as providing probabilistic measures of detection confidence.","Hotspot detections with probabilities, quantitative time series of volcanic radiative power",6/9/2025,Developed in-house,,TRUE,,Satellite thermal images,,FALSE,,None of the Above,FALSE,https://github.com/csaundersshultz/HotLINK,,,,,,,,,,,,,,,,,,,
DOI-0154,An integrated sensor network and data driven approach to satellite remote sensing of Dissolved Organic Matter,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,AI leverages the very large water quality dataset from extensive existing in situ data at continuous monitoring stations to develop a remote sensing model with improved accuracy for  DOM estimates from satellite images,Improved monitoring of water quality,A model that is applied to remote sensing imagery to provide a measurement of DOM in water bodies,,,,FALSE,,,,FALSE,NA,None of the Above,FALSE,NA,,,,,,,,,,,,,,,,,,,
DOI-0156,PRObability of Streamflow PERmanence (PROSPER models) [2024 INV#WO0000000109074],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,predictions of reliable surface flow in streams at regional scales to inform land and water resource decisions related to water availability.,"more accurate estimates of water availability for more efficient use of field verification efforts, expected increased success of restoration or species conservations projects. ",prediction of the annual probability of a stream reach having year round surface flow.,12/1/2019,Developed in-house,,FALSE,,flow/no flow field observations and publicly available gridded spatial datasets to describe climate and physiography,https://www.sciencebase.gov/catalog/item/5c12a499e4b034bf6a85eabd,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0155,Machine Learning for automatic fracture mapping and rock identification [2024 INV#WO0000000109499],USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Machine learning algorithms are being used to improve detection and characterization of fault surface geometries using the spatial patterns of earthquake locations. We have improved our ability to generate long, continuous, fault surface representations and have implemented non-planar machine learning based fitting approaches.",Improved fault geometries that advance our ability to accurately model earthquake hazards.,"The outputs are 3D fault models that are meshed at the user's specified resolution, fault model quality metrics, and a fully 3D render of the fault surfaces.",3/1/2025,Developed in-house,,FALSE,,"We used publicly available earthquake catalogs from northern California, specialized high-resolution aftershock catalogs, an existing fault models to evaluate model performance.",,FALSE,,None of the Above,FALSE,https://code.usgs.gov/esc/surf/,,,,,,,,,,,,,,,,,,,
DOI-0153,Machine Learning for Rapid Earthquake Magnitude Estimation,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"A machine learning algorithm that utilizes statistics of earthquake waveforms to determine whether an earthquake is large enough to warrant an earthquake early warning alert, with applications to the earthquake early warning system. ","Improve accuracy and speed of earthquake magnitude determination for earthquake early warning. Public safety benefits from a faster, more accurate warning system. ",Rapid determination of whether an earthquake is large enough to warrant an alert or not. ,,,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0152,Lead attribution model,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Classification model identifying soils potentially contaminated by lead from battery recycling,Model is intended to be used by a state agency in California to identify soils potentially affected by battery recycling,Classification of a soil as either likely affected by battery recycling or not,,,,FALSE,,,,FALSE,NA,None of the Above,FALSE,The code will be publicly available on ScienceBase as model archive after development,,,,In-progress,Development of monitoring protocols is in-progress,Establishment of sufficient and periodic training is in-progress,Not applicable,Not applicable,In-progress,,,,,,,,,,
DOI-0149,discrimination among biological radar target types detected by NEXRAD,USGS,caio@doi.gov,a) No,"Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0151,target discrimination on portable radar,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This application of machine learning is intended as a pilot effort to discriminate among radar target types, specifically between flying animals and precipitation. ","quantify moth movement into the Yellowstone ecosystem, or rather, the calories they represent as a food source. Army cutworm moths are a critical but poorly understood food for grizzly bears ",The algorithm outputs a probability of whether a radar target is biological or precipitation.,6/15/2024,Developed in-house,,FALSE,,Training data were derived from USGS-operated portable radars and scored by USGS personnel. No data was provided to the agency.,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0150,AI to survey boat traffic,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We are using AI to collect boat traffic times when traveling in a specific area by scanning video.  Typically, this type of data would be collected by manually watching video and recording boat entrance and exit times.  Using AI, we can dramatically lower the time a person monitors videos, making a more efficient use of the employee's time at work.",cost savings,Boat entrance and exit times from a specific area.,3/20/2024,Purchased from a vendor,Ultralytics,TRUE,,Vendor provided training data and evaluated performance; we used default model and did not use additional training data.,,FALSE,,None of the Above,FALSE,www.ultralytics.com/yolo,,,,,,,,,,,,,,,,,,,
DOI-0146,Machine learning for stream velocity prediction,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,To predict stream velocity from streamflow and geographic attributes.,"USGS possess unusually deep knowledge of biological radar targets which can readily be confused with drones, since both fall into the category of ""low and slow"" flying targets. ",Prediction of stream velocity at a location.,,,,FALSE,,,,FALSE,,None of the Above,FALSE,Not yet published.,,,,,,,,,,,,,,,,,,,
DOI-0148,Machine Learning for Avalanche Frequency Modeling,USGS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The machine learning (Random Forest) was used to identify vegetation characteristics in avalanche paths. This helps determine avalanche return periods in specific avalanche paths.,"Benefits include results that inform avalanche forecasters, transportation departments, and infrastructure planners on estimating spatial extents of avalanche return periods.",The Random Forest model outputs vegetation classification that is necessary for identifying avalanche return periods.,1/24/2024,Developed in-house,,FALSE,,"We used high point density lidar data. Data collection and processing adhered to a maximum nominal post spacing of 0.35 m, with a mean point density of 16 points/m2. We also used four-band (red, green, blue, and near-infrared) NAIP imagery at 0.6-m horizontal spatial resolution.",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0147,Improved earthquake detection for research studies [2024 INV#WO0000000108499],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Deep learning methods are being used to improve detection of earthquakes to provide more complete, high-resolution catalogs that are used in research to better understand earthquake occurrence, rupture processes and seismic hazard.","Better understand earthquake occurrence, rupture processes and seismic hazard.","More complete, high-resolution catalogs",,Developed in-house,,FALSE,,,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0143,Predictive AI applications for estimating water quality constituents as causal factors of harmful algal blooms. ,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Ensemble regressions to predict suspended sediment, total nitrogen, total phosphorus, algal pigments, and algal cell abundances and image-based estimation of suspended sediment concentration via machine learning used in combination with custom developed python code to help build on our correlative understanding of what drives harmful algal blooms and introduces a technique to better understand and attribute causality.",Better understanding of the causes of harmful algal blooms in order for localities and state agencies to take proactive action to prevent harmful algal blooms that potentially have impact on life and property.,"Estimates of water quality constituents: suspended sediment, total nitrogen, total phosphorus, algal pigments, and algal cell abundances.",,,,FALSE,,,,FALSE,No privacy use case,None of the Above,FALSE,https://www.python.org/,,,,,,,,,,,,,,,,,,,
DOI-0142,Biotic and abiotic drivers of the prevalence of a tick and associated vector-borne disease,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning," Ticks are one of the most important vectors of disease in North America; however, their presence in desert ecosystems is often underestimated. The Gulf Coast tick (Amblyomma maculatum) has been recently discovered in Arizona and has the potential to transmit a bacterial spotted fever (Rickettsia parkeri) to humans and other animals. We do not yet understand why this tick has recently appeared in Arizona.",Data will be used to inform management and conservation activities in the region and better understand the risk of emerging disease to Arizona wildlife and people.,Identify the relative importance of biotic and abiotic factors driving tick emergence.,,,,FALSE,,,,FALSE,,None of the Above,FALSE,Not yet available,,,,,,,,,,,,,,,,,,,
DOI-0141,Enhancing Community and Wildlife Resilience to Sea?Level Rise and Infrastructure Development in the San Pablo Baylands,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Considerable public dollars will be invested in both tidal marsh restoration and transportation upgrades in the Baylands; yet the combined and interactive effects of SLR and infrastructure changes on wildlife habitat, local communities, and public access are largely unknown. ",The goal of our project is to understand the potential impacts of SLR and transportation redesigns on the Baylands and identify management actions that could be taken to achieve desired future habitat and public access targets.,Wildlife-habitat relationships will be modeled using boosted regression tree or similar machine learning method ,,,,FALSE,,,,FALSE,,None of the Above,FALSE,Not yet available,,,,,,,,,,,,,,,,,,,
